EpochTime(s),TimeFromStart(s),right_prop_rate(rad/s),left_prop_rate(rad/s),LastDT(s),Yaw(rad),North(m),East(m),IMUSensedYawRate(rad/s),IMUIntegratedYaw(rad),IMUSensedTimeStamp(s),ARUCOSensedNorth(m),ARUCOSensedEast(m),ARUCOSensedYaw(rad),ArucoSensedTimeStamp(s),DepthTimeStamp(s),Depth(m),NavigationMode,APFEncounter,APFSide,APFDCPA(m),APFTCPA(s),APFForceX,APFForceY,NearestObstacleNorth(m),NearestObstacleEast(m),NearestObstacleDistance(m),WebotsEnvironment,SwitchCombination,EKFPredictionEnabled,ClusterSizeAPFEnabled
1784381503.9568486,4.2226035594940186,-200.0,200.0,0.2,6.283185305594933,-4.4087703633716586e-05,1.00000000072376,-1.3283823994379574e-12,6.283185305594704,1784381503.9568486,-4.4087703633716586e-05,1.00000000072376,6.283185305594969, 1784381503.796327, 1784381503.9084709,0.9836654557152392,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784381504.0742364,4.339991331100464,-200.0,200.0,0.2,6.28318530559586,0.030173575342269405,1.0000000006758754,8.318196534317909e-12,6.283185305595655,1784381504.0711849,None,None,None, None, 1784381504.0606701,0.9446303883828555,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784381504.1792867,4.445041656494141,-200.0,200.0,0.2,6.283185305596347,0.08492763609470122,1.0000000005891598,8.318196534317909e-12,6.283185305597319,1784381504.243833,None,None,None, None, 1784381504.1792867,0.9917744831900802,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784381504.3132148,4.578969717025757,-200.0,200.0,0.2,6.283185305594551,0.15124604628131805,1.0000000004841618,-1.0094158992536859e-11,6.283185305595576,1784381504.243833,None,None,None, None, 1784381504.2906904,0.9817783277426909,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784381504.3785787,4.644333600997925,-200.0,200.0,0.2,6.283185305589992,0.22041736616025126,1.0000000003745229,-4.106920682192795e-11,6.283185305591846,1784381504.3346593,None,None,None, None, 1784381504.2906904,0.9817783277426909,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784381504.475903,4.741657972335815,-200.0,200.0,0.2,6.283185305580926,0.29003658107746333,1.0000000002638565,-9.673819590143339e-11,6.283185305578763,1784381504.469895,None,None,None, None, 1784381504.505426,1.0164605546460457,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784381504.5776687,4.84342360496521,-200.0,200.0,0.2,6.283185305571922,0.3597169151149747,1.0000000001524614,-1.2750710277319586e-10,6.283185305565021,1784381504.5776687,None,None,None, None, 1784381504.505426,1.0164605546460457,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784381504.8626623,5.128417253494263,-200.0,200.0,0.2,6.2831853056544125,0.06560870865654161,1.0000000005046412,4.43304138709568e-10,6.283185305634935,1784381504.8646607,0.059962225597883924,1.0000000005118463,6.283185305677872, 1784381504.806481, 1784381504.820998,1.0397888669634978,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784381504.9287643,5.194519281387329,-200.0,200.0,0.2,6.283185305737708,0.10990915395093212,1.0000000004370753,1.160347647071848e-09,6.283185305784945,1784381504.9603188,None,None,None, None, 1784381504.9197571,0.9266391852227688,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784381505.013386,5.279140949249268,-200.0,200.0,0.2,6.283185305748662,0.17221659190181726,1.0000000003472356,6.58512538060296e-10,6.283185305847938,1784381504.9603188,None,None,None, None, 1784381504.9197571,0.9266391852227688,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784381505.1537054,5.419460296630859,-200.0,200.0,0.2,6.283185305673627,0.2405869114562873,1.000000000249403,-1.7025995286089325e-10,6.283185305829074,1784381505.1892467,None,None,None, None, 1784381505.1647081,1.0269845234701929,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784381505.265135,5.530889987945557,-200.0,200.0,0.2,6.283185305625274,0.31009059882879747,1.0000000001447333,-2.2121575554706988e-10,6.28318530580294,1784381505.1892467,None,None,None, None, 1784381505.258137,0.9262719272079273,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784381505.304193,5.569947957992554,-200.0,200.0,0.2,6.283185305585859,0.3797554070479605,1.0000000000364524,-3.2571814016459945e-10,6.283185305774471,1784381505.2766507,None,None,None, None, 1784381505.258137,0.9262719272079273,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784381505.366335,5.632089853286743,-200.0,200.0,0.2,6.28318530559628,0.4494418226912803,0.9999999999253912,-2.1780131703827025e-11,6.2831853057701155,1784381505.366335,None,None,None, None, 1784381505.3413286,0.9693162382192128,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784381505.4179404,5.683695316314697,-200.0,200.0,0.2,6.283185305601723,0.5191311114743289,0.9999999998150517,-2.1780131703827025e-11,6.28318530576576,1784381505.366335,None,None,None, None, 1784381505.3413286,0.9693162382192128,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784381505.4765275,5.742282390594482,-200.0,200.0,0.2,6.283185305636662,0.5888207818612146,0.9999999997050909,2.629604755081216e-10,6.283185305787492,1784381505.4489796,None,None,None, None, 1784381505.441979,1.0517829355758357,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
