EpochTime(s),TimeFromStart(s),right_prop_rate(rad/s),left_prop_rate(rad/s),LastDT(s),Yaw(rad),North(m),East(m),IMUSensedYawRate(rad/s),IMUIntegratedYaw(rad),IMUSensedTimeStamp(s),ARUCOSensedNorth(m),ARUCOSensedEast(m),ARUCOSensedYaw(rad),ArucoSensedTimeStamp(s),DepthTimeStamp(s),Depth(m),NavigationMode,APFEncounter,APFSide,APFDCPA(m),APFTCPA(s),APFForceX,APFForceY,NearestObstacleNorth(m),NearestObstacleEast(m),NearestObstacleDistance(m),WebotsEnvironment,SwitchCombination,EKFPredictionEnabled,ClusterSizeAPFEnabled
1784374589.254111,3.7886831760406494,-200.0,200.0,0.2,6.283185305750585,-5.088279067458871e-05,1.0000000005589826,2.11270490135538e-12,6.28318530575095,1784374589.2801554,-5.088279067458871e-05,1.0000000005589826,6.283185305750528, 1784374588.612728, 1784374589.169893,1.0420930158820938,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784374589.3146899,3.849261999130249,-200.0,200.0,0.2,6.283185305750281,0.03016678025522853,1.0000000005158016,-1.181225619805601e-12,6.283185305750785,1784374589.2801554,None,None,None, None, 1784374589.3136897,0.9309633933199979,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784374589.415433,3.950005054473877,-200.0,200.0,0.2,6.283185305750353,0.08492084100766034,1.0000000004375413,8.074409472791716e-13,6.283185305750853,1784374589.3642957,None,None,None, None, 1784374589.397407,1.045072099789795,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784374589.5152614,4.049833536148071,-200.0,200.0,0.2,6.283185305749969,0.15123925119427717,1.0000000003427567,-2.9222874532675967e-12,6.28318530575054,1784374589.4711702,None,None,None, None, 1784374589.4967356,0.9942399372755566,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784374589.6238804,4.15845251083374,-200.0,200.0,0.2,6.283185305761644,0.04111895869773108,1.0000000005301752,8.89427941792772e-11,6.28318530575938,1784374589.570561,0.032444841632073194,1.0000000005440268,6.283185305763114, 1784374589.617838, 1784374589.6052368,0.9459412316007623,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784374589.72461,4.2591822147369385,-200.0,200.0,0.2,6.283185305772116,0.09363825160182933,1.000000000455706,1.6216742117973957e-10,6.2831853057772165,1784374589.6805508,None,None,None, None, 1784374589.7196102,0.9515134049711635,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784374589.8150718,4.34964394569397,-200.0,200.0,0.2,6.283185305775646,0.15921347753282533,1.0000000003634106,1.216007062751338e-10,6.283185305789436,1784374589.7810414,None,None,None, None, 1784374589.791559,0.9213756805691306,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784374589.9442956,4.478867769241333,-200.0,200.0,0.2,6.283185305758589,0.22825149213821694,1.0000000002664853,-6.986954704259809e-11,6.283185305778449,1784374589.938286,None,None,None, None, 1784374589.939286,0.9102273776290541,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784374590.2068582,4.741430282592773,-200.0,200.0,0.2,6.283185305763707,0.29785203435238616,1.000000000167583,6.943834952811952e-11,6.283185305795145,1784374590.1787338,None,None,None, None, 1784374590.2033396,0.9468228565466001,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784374590.3164735,4.851045608520508,-200.0,200.0,0.2,6.283185305773389,0.36752987020633365,1.0000000000689278,1.275541372429099e-10,6.2831853058106075,1784374590.2999582,None,None,None, None, 1784374590.3019586,1.0008520694628447,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
