EpochTime(s),TimeFromStart(s),right_prop_rate(rad/s),left_prop_rate(rad/s),LastDT(s),Yaw(rad),North(m),East(m),IMUSensedYawRate(rad/s),IMUIntegratedYaw(rad),IMUSensedTimeStamp(s),ARUCOSensedNorth(m),ARUCOSensedEast(m),ARUCOSensedYaw(rad),ArucoSensedTimeStamp(s),DepthTimeStamp(s),Depth(m),NavigationMode,APFEncounter,APFSide,APFDCPA(m),APFTCPA(s),APFForceX,APFForceY,NearestObstacleNorth(m),NearestObstacleEast(m),NearestObstacleDistance(m),WebotsEnvironment,SwitchCombination,EKFPredictionEnabled,ClusterSizeAPFEnabled
1784332684.0003598,3.2192234992980957,-200.0,200.0,0.2,6.283185305756662,-5.045307199699135e-05,1.0000000006160183,1.912914928951042e-09,6.2831853060873195,1784332684.015872,-5.045307199699135e-05,1.0000000006160183,6.283185305704737, 1784332683.294909, 1784332683.911021,0.9745095140032882,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784332684.0349038,3.253767490386963,-200.0,200.0,0.2,6.283185305584465,0.03016720997390613,1.000000000573021,2.219746937859028e-13,6.283185306087341,1784332684.015872,None,None,None, None, 1784332684.033398,0.9430558118125604,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784332684.1386602,3.3575239181518555,-200.0,200.0,0.2,6.283185305504885,0.08492127072633794,1.0000000004856815,2.219359656269332e-12,6.283185306087565,1784332684.1166167,None,None,None, None, 1784332684.1351438,0.9902377181177917,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784332684.2358294,3.454693078994751,-200.0,200.0,0.2,6.283185305462576,0.15123968091295478,1.000000000374618,-1.4214426703723991e-11,6.283185306086397,1784332684.198757,None,None,None, None, 1784332684.2864,0.9887210669055666,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784332684.3696773,3.588541030883789,-200.0,200.0,0.2,6.283185305558923,0.022591251057518358,1.0000000005144998,-1.4582412876979172e-10,6.283185306068727,1784332684.3199277,0.013020743857764134,1.0000000005270133,6.28318530570231, 1784332684.297408, 1784332684.3892267,1.0847865484137071,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784332684.4401703,3.659034013748169,-200.0,200.0,0.2,6.283185305523496,0.07206711270905637,1.0000000004343161,-3.879585253982914e-10,6.28318530603,1784332684.419751,None,None,None, None, 1784332684.3892267,1.0847865484137071,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784332684.5368433,3.755707025527954,-200.0,200.0,0.2,6.2831853055430855,0.13653028130148417,1.0000000003275593,6.700641275375212e-11,6.283185306036135,1784332684.5113034,None,None,None, None, 1784332684.4747593,0.9451317217599856,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784332684.636757,3.8556206226348877,-200.0,200.0,0.2,6.283185305561054,0.20535598908413313,1.000000000214926,1.2759179875380213e-10,6.283185306047542,1784332684.6007133,None,None,None, None, 1784332684.5766668,1.0143762774487564,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784332684.7359023,3.954766035079956,-200.0,200.0,0.2,6.28318530565266,0.274926335935659,1.0000000001023241,8.754239702880529e-10,6.283185306122509,1784332684.6863482,None,None,None, None, 1784332684.7349014,0.9028327800382974,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784332684.835745,4.0546088218688965,-200.0,200.0,0.2,6.283185305626738,0.34460012283150576,0.9999999999959374,1.3456445145124537e-10,6.2831853061343,1784332684.7739713,None,None,None, None, 1784332684.8128486,1.0594880383969603,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784332684.9354222,4.154285907745361,-200.0,200.0,0.2,6.28318530559525,0.4142877330751863,0.999999999887723,-3.0286501236900614e-11,6.2831853061297585,1784332684.9239109,None,None,None, None, 1784332684.8973749,1.0430399406751745,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784332685.0383842,4.2572479248046875,-200.0,200.0,0.2,6.2831853055723315,0.4839771805347943,0.9999999997773115,-8.187451205410801e-11,6.283185306123502,1784332685.0003276,None,None,None, None, 1784332685.0313752,0.9933598727931965,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784332685.136019,4.354882717132568,-200.0,200.0,0.2,6.283185305562547,0.5536668719937439,0.9999999996653024,-5.488214757239382e-11,6.283185306119381,1784332685.07542,None,None,None, None, 1784332685.1084785,0.9008847031067981,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784332685.2354639,4.454327583312988,-200.0,200.0,0.2,6.2831853055689795,0.623356595854913,0.9999999995526114,5.1414870858110576e-11,6.283185306126297,1784332685.2099419,None,None,None, None, 1784332685.1898854,1.0126832030847492,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
