EpochTime(s),TimeFromStart(s),right_prop_rate(rad/s),left_prop_rate(rad/s),LastDT(s),Yaw(rad),North(m),East(m),IMUSensedYawRate(rad/s),IMUIntegratedYaw(rad),IMUSensedTimeStamp(s),ARUCOSensedNorth(m),ARUCOSensedEast(m),ARUCOSensedYaw(rad),ArucoSensedTimeStamp(s),DepthTimeStamp(s),Depth(m),NavigationMode,APFEncounter,APFSide,APFDCPA(m),APFTCPA(s),APFForceX,APFForceY,NearestObstacleNorth(m),NearestObstacleEast(m),NearestObstacleDistance(m),WebotsEnvironment,SwitchCombination,EKFPredictionEnabled,ClusterSizeAPFEnabled
1784374111.0455284,3.8178720474243164,-200.0,200.0,0.2,6.283185305624175,-5.022814386807411e-05,1.0000000006333034,1.0296387773100109e-12,6.283185305624354,1784374111.0465202,-5.022814386807411e-05,1.0000000006333034,6.283185305624148, 1784374110.742142, 1784374111.0465202,1.0361168122872546,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784374111.0824032,3.8547468185424805,-200.0,200.0,0.2,6.283185305624182,0.030167434902035047,1.0000000005863026,1.0296387773100109e-12,6.28318530562456,1784374111.0465202,None,None,None, None, 1784374111.0465202,1.0361168122872546,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784374111.1877422,3.960085868835449,-200.0,200.0,0.2,6.283185305624656,0.08492149565446686,1.0000000005011378,5.1943790454576e-12,6.283185305624936,1784374111.1187656,None,None,None, None, 1784374111.1187656,1.017690116690445,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784374111.2856581,4.058001756668091,-200.0,200.0,0.2,6.283185305624879,0.1512399058410837,1.0000000003980172,4.716119200638389e-12,6.283185305625403,1784374111.2177742,None,None,None, None, 1784374111.215265,0.9797647272455081,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784374111.38348,4.155823707580566,-200.0,200.0,0.2,6.28318530561981,0.22041122572001692,1.000000000290476,-4.0830085065939006e-11,6.283185305618841,1784374111.3784788,None,None,None, None, 1784374111.3258004,0.9812249840594421,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784374111.4882023,4.260545969009399,-200.0,200.0,0.2,6.283185305613961,0.290030440637229,1.0000000001818856,-6.603732159578079e-11,6.283185305614046,1784374111.4510946,None,None,None, None, 1784374111.4892008,0.9643742314632122,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784374111.5911384,4.3634819984436035,-200.0,200.0,0.2,6.283185305610392,0.3597107746747404,1.0000000000727924,-6.603732159578079e-11,6.283185305600838,1784374111.5971491,None,None,None, None, 1784374111.5971491,0.9382267817845941,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784374111.6929338,4.465277433395386,-200.0,200.0,0.2,6.28318530561708,0.42939925537399715,0.9999999999634377,1.3421248701985782e-11,6.283185305602799,1784374111.696935,None,None,None, None, 1784374111.676911,1.0884121413298067,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784374111.7832253,4.5555689334869385,-200.0,200.0,0.2,6.283185305731681,0.0726136549348444,1.0000000004328882,9.797887044493753e-10,6.2831853057005675,1784374111.7832253,0.06763157523767216,1.0000000004396443,6.283185305732649, 1784374111.74463, 1784374111.7736857,0.9627709507403849,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784374111.8830981,4.655441761016846,-200.0,200.0,0.2,6.283185305708547,0.11492818773209074,1.0000000003716207,1.0216880247553287e-10,6.283185305709391,1784374111.8695848,None,None,None, None, 1784374111.8645377,1.0741434713914375,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784374111.9908144,4.763158082962036,-200.0,200.0,0.2,6.2831853056080185,0.17631994149265273,1.000000000281311,-8.08390875545123e-10,6.2831853056197495,1784374111.9804738,None,None,None, None, 1784374111.9709663,0.9947452820434974,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784374112.0842738,4.856617450714111,-200.0,200.0,0.2,6.283185305544782,0.24447932818450274,1.0000000001741938,-8.08390875545123e-10,6.283185305458072,1784374111.9804738,None,None,None, None, 1784374112.0506887,0.9781867423059708,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
